date,gdp,gdp_growth,entropy,volatility,year,crisis,crisis_next_4q,entropy_std,volatility_std
1995-01-01,578473110000,0.017904747418730382,2.3022884842834155,0.016102870254684983,1995,0,0,0.23499380838181946,-0.16497668421502176
1995-04-01,582709910000,0.022908997685951338,2.301985168175379,0.015965489376246835,1995,0,0,0.23262912079393422,-0.17511224527075964
1995-07-01,583769090000,0.01774007201964456,2.3011496604345516,0.016224697727395376,1995,0,0,0.22611540545877606,-0.1559886081307772
1995-10-01,583996060000,0.005929841397726898,2.300712052019656,0.016186072682130515,1995,0,0,0.22270375945765528,-0.15883825146552194
1996-01-01,579210810000,0.0012752537451568013,2.327694352583052,0.01608057961805042,1996,0,0,0.433060906817609,-0.16662122245898556
1996-04-01,587078920000,0.007497744460875921,2.251005482961178,0.013670916786365853,1996,0,0,-0.1648144229754914,-0.3443991274479762
1996-07-01,589045940000,0.009039276128854246,2.232772540385489,0.01165777786461139,1996,0,0,-0.3069605598176146,-0.4929226533352497
1996-10-01,593433880000,0.016160759714714423,2.256027200537393,0.010362384962066233,1996,0,0,-0.12566452981875326,-0.5884929685361906
1997-01-01,590350760000,0.019232980130325927,2.317344920398678,0.00895852592249797,1997,0,0,0.3523755321222582,-0.6920655993925279
1997-04-01,597992100000,0.018588948824801887,2.317391010998648,0.008968447780188273,1997,0,0,0.35273485978992725,-0.691333593631976
1997-07-01,599807860000,0.018270086030980792,2.3179468753090067,0.008865938833364206,1997,0,0,0.35706844247949565,-0.6988964051462617
1997-10-01,604347220000,0.01839015325515292,2.3196426283777347,0.008683508306466898,1997,0,0,0.37028873025022924,-0.7123555980471906
1998-01-01,609983300000,0.033255720717628945,2.3596165900015267,0.0063974341610068325,1998,0,0,0.6819303753390301,-0.8810154897488309
1998-04-01,607411140000,0.01575111109327354,2.327825035594941,0.008238061777697618,1998,0,0,0.4340797267482831,-0.7452193454677621
1998-07-01,610285910000,0.017469010826233644,2.3303930333269762,0.007947850177968889,1998,0,0,0.45410013516633274,-0.7666303119834421
1998-10-01,607789360000,0.005695633050152749,2.3303931276232874,0.007940680618382448,1998,0,0,0.45410087031132107,-0.7671592612066329
1999-01-01,614825330000,0.00793797141659458,2.32895812831059,0.007963381844398446,1999,0,0,0.44291344909149827,-0.7654844308740488
1999-04-01,614825330000,0.012206213405964172,2.381041160907985,0.007176894518244007,1999,0,0,0.8489588171394137,-0.8235091749609146
1999-07-01,621634070000,0.018594825497445955,2.3954142198379103,0.006843776952129838,1999,0,0,0.961012853014963,-0.8480856187023851
1999-10-01,626778410000,0.031242814122313778,2.408752184474705,0.006536584195776897,1999,0,0,1.0649971736251322,-0.8707494054920252
2000-01-01,635724760000,0.03399246742160078,2.393831081219082,0.007648915239567687,2000,0,0,0.9486705205681948,-0.7886848610175184
2000-04-01,640869250000,0.04235986828974658,2.3778488677858296,0.008834557570912414,2000,0,0,0.824071329390338,-0.7012116232843483
2000-07-01,640566640000,0.030456133139549424,2.35229370205626,0.010884121152604271,2000,0,0,0.6248402908599999,-0.5500007920826298
2000-10-01,638675260000,0.018980950540399055,2.3536922686990427,0.011123287309858862,2000,0,0,0.6357436787559758,-0.5323558096303486
2001-01-01,651517590000,0.02484224462171336,2.35437198237337,0.011107260295152879,2001,0,0,0.641042805463765,-0.5335382360927534
2001-04-01,651290640000,0.016261335678065425,2.3590704152883375,0.010651571331107458,2001,0,0,0.6776723338737861,-0.5671576405543993
2001-07-01,649928890000,0.014615575359965716,2.359909893892773,0.010629023963697365,2001,0,0,0.6842170065225803,-0.5688211196471906
2001-10-01,649323650000,0.01667262013562265,2.355233316028899,0.010751556636072445,2001,0,0,0.6477578626278675,-0.5597810159857519
2002-01-01,645994960000,-0.008476563157719164,2.3898037098078375,0.009798491327071805,2002,0,0,0.9172726655395635,-0.6300953984478699
2002-04-01,648794070000,-0.0038332655909195656,2.392004475067334,0.012490467590763575,2002,0,0,0.934430086972508,-0.43148923075234713
2002-07-01,651971480000,0.0031427899750693378,2.354899568006561,0.014110842943432293,2002,0,0,0.6451559243034781,-0.3119426569722067
2002-10-01,651063660000,0.00267972682036155,2.298594420384784,0.014834177303837489,2002,0,0,0.206194457412625,-0.25857715474985243
2003-01-01,641398850000,-0.007114776870705053,2.2366368862466457,0.014866770310616048,2003,0,0,-0.2768336709018512,-0.2561725376448388
2003-04-01,642079740000,-0.010348938608517155,2.217470767215509,0.015055176137191052,2003,0,0,-0.42625495971592264,-0.24227250453821214
2003-07-01,646997280000,-0.00762947483531029,2.271344479345715,0.013304126916868492,2003,0,0,-0.006249246163999255,-0.3714598156542347
2003-10-01,648812980000,-0.00345692769889816,2.2997742845311304,0.012093537136139658,2003,0,0,0.2153928152588955,-0.4607736035374127
2004-01-01,647678140000,0.009789992607563969,2.271115611728105,0.011504942634034147,2004,0,0,-0.008033524678368802,-0.5041983914772274
2004-04-01,651006940000,0.013903569048915987,2.3254670819021084,0.00975492017397833,2004,0,0,0.4156968460422533,-0.6333099512114602
2004-07-01,649645200000,0.0040926292611307424,2.334854998039567,0.009482793213709763,2004,0,0,0.4888861300208516,-0.6533866857037076
2004-10-01,649115610000,0.00046643641438870453,2.328385536716964,0.008698496631997064,2004,0,0,0.438449458559839,-0.711249803046741
2005-01-01,649058690000,0.002131537124288263,2.2910527002517775,0.0072673250706496925,2005,0,0,0.1473983317954293,-0.8168374722055373
2005-04-01,652538880000,0.0023531853592835272,2.2558142490762823,0.006886444939716069,2005,0,0,-0.12732472412946907,-0.8449376988592286
2005-07-01,658061810000,0.012955702589659612,2.237245215871507,0.006787179016128254,2005,0,0,-0.2720910625301253,-0.8522612495652425
2005-10-01,661239430000,0.018677443298582785,2.240268428034356,0.007562888848676257,2005,0,0,-0.24852174956711082,-0.7950316375645721
2006-01-01,667650940000,0.028644944265363792,2.231217892883856,0.008915591563659987,2006,0,0,-0.3190807722074139,-0.6952331713307671
2006-04-01,679074810000,0.040665668841065816,2.1546742065170057,0.010815556439025802,2006,0,0,-0.9158242364911443,-0.5550592969389416
2006-07-01,684294950000,0.0398642492260719,2.0573004091336737,0.013306739948723724,2006,0,0,-1.6749616642667235,-0.3712670337750504
2006-10-01,694659640000,0.050541768206411986,2.047262668746032,0.014426240769494206,2006,0,0,-1.7532170535328497,-0.28867352403871216
2007-01-01,695113510000,0.041133125641970913,2.0749409714462943,0.01649790362801641,2007,0,1,-1.5374337927203487,-0.13583227256200253
2007-04-01,701014560000,0.03230829604767704,2.1042438289679914,0.01734405563882562,2007,0,1,-1.3089853139378704,-0.0734056418293032
2007-07-01,704570350000,0.029629620969729542,2.12854778830454,0.01743694216242854,2007,0,1,-1.119508825690448,-0.06655274467261132
2007-10-01,709109640000,0.020801553981169896,2.1987676285800366,0.01655771838427523,2007,0,1,-0.5720667996215617,-0.1314193140703426
2008-01-01,713648920000,0.026665299599773373,2.2887058685148878,0.01492563900622049,2008,1,1,0.12910215914899256,-0.2518293767526255
2008-04-01,711984540000,0.0156487191935073,2.360919463364999,0.012981919157249227,2008,1,1,0.6920877273212057,-0.39523136564999256
2008-07-01,707369580000,0.003972960258688207,2.4134926703709296,0.01112117237635581,2008,1,1,1.101954551958642,-0.5325118432639423
2008-10-01,696097030000,-0.018350631927666394,2.3782181040245938,0.012452081349709926,2008,1,0,0.8269499379695383,-0.4343212558079643
2009-01-01,663490000000,-0.07028514805291097,2.3776957446160205,0.01799384005600684,2009,0,0,0.8228775633836155,-0.025466440185805125
2009-04-01,664549140000,-0.06662419945242071,2.3416673473909713,0.03204912107233248,2009,0,0,0.541995996357634,1.0114912537530925
2009-07-01,668256220000,-0.055294093930361,2.3219568323073956,0.03867938565124455,2009,0,0,0.3883305327239983,1.5006528621170616
2009-10-01,673173760000,-0.03293114179786116,2.3172575942924976,0.04116728310688015,2009,0,0,0.3516947276614595,1.6842026897836713
2010-01-01,678602410000,0.022777148110747714,2.3170495795695683,0.039187007436730766,2010,0,0,0.3500730207346735,1.5381037188775577
2010-04-01,693884150000,0.04414272509629602,2.306127425557273,0.03764075504259375,2010,0,0,0.2649226401859755,1.4240257210766303
2010-07-01,699633750000,0.04695434035765511,2.3075468668305015,0.03881133166809147,2010,0,0,0.27598876912408343,1.510387454914963
2010-10-01,705307710000,0.04773500084138749,2.3110560492470507,0.04042294325028855,2010,0,0,0.3033467625974944,1.6292874632363323
2011-01-01,718944710000,0.05944909626831407,2.326785858887512,0.04249931809937682,2011,0,0,0.42597818450713504,1.7824763516521807
2011-04-01,719625590000,0.03709760483792568,2.3324566581338004,0.04527909170066087,2011,0,0,0.47018839371066434,1.98755995118403
2011-07-01,725980610000,0.03765807467121185,2.359118504545525,0.046283000733143,2011,0,0,0.6780472433051316,2.0616254354698254
2011-10-01,723710930000,0.02609246962577516,2.4219193396147927,0.04735373431176249,2011,0,0,1.1676498435710116,2.1406210401267907
2012-01-01,725299680000,0.00883930281648504,2.432951498487549,0.04717023882368382,2012,0,0,1.253657834781483,2.1270832774918604
2012-04-01,726661440000,0.009777098115702154,2.3997534775859584,0.040866260444831284,2012,0,0,0.9948422101297998,1.6619941145798764
2012-07-01,728779790000,0.003855722813313145,2.373827023589965,0.03287756091791968,2012,0,0,0.7927165651744216,1.0726111325267274
2012-10-01,725375330000,0.0022998132693670126,2.3176301604502174,0.024409446831271928,2012,0,0,0.35459929667538287,0.4478583406684747
2013-01-01,722103530000,-0.004406661257592148,2.2399252040404574,0.018570770093298796,2013,0,0,-0.251197563665777,0.017097777515673932
2013-04-01,729971380000,0.00455499606529286,2.180517344570296,0.020712708445800188,2013,0,0,-0.7143481322965869,0.17512375024359375
2013-07-01,733980950000,0.007136806030255016,2.111712115849441,0.020812206232526657,2013,0,0,-1.2507616824741132,0.18246440713661943
2013-10-01,736023590000,0.014679655565347005,2.0645940736624318,0.01993617499612847,2013,0,0,-1.6180994089351148,0.11783337417052193
2014-01-01,743229810000,0.029256580424139367,2.065578294986315,0.018115201091786905,2014,0,0,-1.6104263052434395,-0.016512776459668324
2014-04-01,743381110000,0.018370213363707588,2.1528463898296373,0.013618387359773065,2014,0,0,-0.9300741075630479,-0.348274595537182
2014-07-01,746936850000,0.017651548040858556,2.184724869565983,0.011935573919343797,2014,0,0,-0.6815457790109993,-0.47242766956608523
2014-10-01,752989250000,0.023050429674407624,2.2428322035499244,0.009560358528904776,2014,0,0,-0.22853425803875999,-0.6476641426765821
2015-01-01,749206540000,0.008041563887218217,2.2526491151089205,0.009203989519993239,2015,0,0,-0.15200047595507668,-0.6739560101421253
2015-04-01,755031950000,0.01567276844040344,2.2494104370153947,0.009224059822957396,2015,0,0,-0.17724958632543164,-0.6724752816490988
2015-07-01,757982430000,0.014787836481758854,2.2573195879309793,0.009292531591120904,2015,0,0,-0.11558892767504247,-0.6674236340347766
2015-10-01,761386860000,0.011152363728964332,2.2993213839553754,0.00901243370030102,2015,0,0,0.21186194979656564,-0.6880884405658141
2016-01-01,767817500000,0.02484089367399278,2.350762364062893,0.008486817273553994,2016,0,0,0.6129018021024624,-0.7268668895447364
2016-04-01,771524600000,0.02184364515965176,2.3778207982863337,0.007135576241135235,2016,0,0,0.8238524963138961,-0.8265575170964061
2016-07-01,773037650000,0.01986222820494654,2.4123484167448037,0.006437713702604682,2016,0,0,1.0930338178617627,-0.8780437824937639
2016-10-01,775988170000,0.019177255042200247,2.4347107140619793,0.0056970458691260745,2016,0,0,1.2673728836135445,-0.9326880978714922
2017-01-01,785293730000,0.022760916493828276,2.4375147020468853,0.005595723895584571,2017,0,0,1.289233099437268,-0.9401633379543405
2017-04-01,792556520000,0.027260206609095894,2.4464161148040553,0.004800426455830894,2017,0,0,1.3586295465887015,-0.9988380665609462
2017-07-01,797549760000,0.03170881780466961,2.439874236592247,0.005429565835622521,2017,0,0,1.307628304653122,-0.9524219956423284
2017-10-01,805115210000,0.03753541758246137,2.42930494168145,0.006464249785266402,2017,0,0,1.2252288546204035,-0.876086027607817
2018-01-01,800254470000,0.019051138992285166,2.4111219032951827,0.008071326860841116,2018,0,0,1.0834717766320057,-0.7575205619771856
2018-04-01,806760590000,0.01792183855859264,2.43486664067445,0.007086845276140388,2018,0,0,1.2685885055846866,-0.8301527457528648
2018-07-01,799270960000,0.0021581098588756564,2.4376460665931297,0.006941642006520293,2018,0,0,1.290257232688889,-0.8408654200453781
2018-10-01,806155360000,0.001291926903231655,2.3829084926779975,0.008731381308483202,2018,0,0,0.8635167523826136,-0.7088236674002616
2019-01-01,811678230000,0.014275159250281888,2.324818132583766,0.01001479189428436,2019,0,0,0.41063756182492,-0.6141373726272632
2019-04-01,811375620000,0.005720445516556483,2.316030256518193,0.010054519393344627,2019,0,0,0.34212625990077933,-0.61120639346266
2019-07-01,811224280000,0.014955278745520717,2.2755995209171562,0.010716481804828702,2019,0,0,0.026923551862000936,-0.5623687348708857
2019-10-01,813645220000,0.009290839423309105,2.2699249797723993,0.0107398751632115,2019,0,0,-0.017315829616356346,-0.5606428410282841
2020-01-01,799270420000,-0.015286611789501858,2.248742104946059,0.010980511740201758,2020,0,0,-0.18245998071950176,-0.5428893752908626
2020-04-01,725584660000,-0.10573519574078405,2.24450760635369,0.013949369711424155,2020,0,0,-0.21547262329597977,-0.32385568169946266
2020-07-01,790267690000,-0.025833287435627517,1.9823518222981658,0.035325612502985014,2020,0,0,-2.259269547441273,1.2532212479235123
2020-10-01,796471210000,-0.021107492034427522,1.9765478483074093,0.03497162106702072,2020,0,0,-2.304518002411906,1.2271047908647534
2021-01-01,786334310000,-0.016184897722100078,1.9620934418686429,0.03314769289676646,2021,0,0,-2.4172062329093866,1.092540683100547
2021-04-01,803885800000,0.10791454714602144,1.9541026314733685,0.0322640068776598,2021,0,0,-2.479503518342658,1.0273449025626464
2021-07-01,809257130000,0.024029123599877966,1.8717963928155514,0.04556947487372233,2021,0,0,-3.1211725092171325,2.0089835758804497
2021-10-01,809332790000,0.016148204528321886,1.9668021829095597,0.04614816850053032,2021,0,0,-2.380496341152872,2.0516779060795356
2022-01-01,817446890000,0.039566606218670586,2.0434598762514384,0.046379826905525515,2022,0,0,-1.7828640652576286,2.0687689884382845
2022-04-01,816387700000,0.015551835845340145,2.0854391938719883,0.047510512051553856,2022,0,0,-1.4555884320317511,2.152187645115063
2022-07-01,819338240000,0.012457239641496809,2.1235718372711183,0.04763857970792811,2022,0,0,-1.1583019175668836,2.1616361037739655
2022-10-01,816009490000,0.00824963486281094,2.1157744530169325,0.047593981588783446,2022,0,0,-1.2190912303508759,2.158345784446408
2023-01-01,816009450000,-0.0017584506315755366,2.111370064864066,0.04758411282681152,2023,0,0,-1.2534283516621636,2.1576176959333035
2023-04-01,817144310000,0.0009267778042221231,2.047071169287327,0.04728941543033813,2023,0,0,-1.7547100055426104,2.1358757803997834
2023-07-01,816085100000,-0.003970448150937056,2.0176381624660573,0.03386351570838537,2023,0,0,-1.9841731433725884,1.145352005132673
