Date,YoY_Growth_US,YoY_Growth_UK
1961-01-01,-0.006675232238545603,0.030238838424578196
1961-04-01,0.015657846818091237,0.0418111821424787
1961-07-01,0.030115335873595495,0.021430460626139736
1961-10-01,0.06397498989994466,0.013611608965531596
1962-01-01,0.07569160858836588,0.0015863721778914819
1962-04-01,0.06730272632782075,0.006888882861869838
1962-07-01,0.060068727611334305,0.018091623339897556
1962-10-01,0.043098468185995165,0.016343974439498643
1963-01-01,0.03601109802250946,0.016593138421170606
1963-04-01,0.03824586006509767,0.05068686868686867
1963-07-01,0.04818697418135365,0.048913043478260976
1963-10-01,0.05159809846807195,0.07659703096661508
1964-01-01,0.06217339646105979,0.0787897024406552
1964-04-01,0.061823135983265054,0.05332410416145916
1964-07-01,0.05521285465939152,0.052553663952627616
1964-10-01,0.05157812790498717,0.044655057308467416
1965-01-01,0.05478300000024183,0.03497114663460055
1965-04-01,0.056602749084340376,0.016592940546526602
1965-07-01,0.06347484807761239,0.021048547456229638
1965-10-01,0.0846227065873435,0.012375321029683972
1966-01-01,0.08477019498128313,0.016613265458901072
1966-04-01,0.07489340026826796,0.021972299699534403
1966-07-01,0.060421085314855016,0.017093763359141256
1966-10-01,0.045044028974827954,0.006607591650835909
1967-01-01,0.02925069232407873,0.018574483502111994
1967-04-01,0.026377377135773372,0.026759202319248
1967-07-01,0.027387436004856935,0.02754184106524704
1967-10-01,0.026709272243796267,0.037251937030394755
1968-01-01,0.038448152772550426,0.061156030583798815
1968-04-01,0.05514676233925897,0.04222708967909017
1968-07-01,0.053353544503060624,0.058265775106379314
1968-10-01,0.049578561546840705,0.05661720665845471
1969-01-01,0.04469434131486105,0.017135756175194583
1969-04-01,0.03064780019887059,0.029006605844010158
1969-07-01,0.02947610114439625,0.014779065585123208
1969-10-01,0.020442073487201062,0.015727440935197068
1970-01-01,0.003227914619529093,0.011402850712678214
1970-04-01,0.001611246078731865,0.027875138950201217
1970-07-01,0.004213436808757853,0.032106014918267034
1970-10-01,-0.0016735247777361906,0.036501192488114675
1971-01-01,0.02697158764619889,0.03811431114501884
1971-04-01,0.031064413232145816,0.0320711173664221
1971-07-01,0.03005276944871249,0.039902818569034215
1971-10-01,0.04365553188952087,0.03461640050388071
1972-01-01,0.0347250606627687,0.04162456237049739
1972-04-01,0.05251377703035898,0.05026672549334199
1972-07-01,0.05378364037294192,0.03527138660515372
1972-10-01,0.06891806086097496,0.04728333177866029
1973-01-01,0.07561184799549903,0.09643406598790771
1973-04-01,0.06319553786409782,0.07032107770596041
1973-07-01,0.047713493752379765,0.05752237669015425
1973-10-01,0.04024055261813664,0.03725892798544894
1974-01-01,0.006389984128199799,-0.0386897846098847
1974-04-01,-0.0020826169490241186,-0.02675134804850743
1974-07-01,-0.006290398324048763,-0.011727789232944041
1974-10-01,-0.019457634317057715,-0.022439055254761198
1975-01-01,-0.022997714710448536,0.005894329729176917
1975-04-01,-0.018348424207727088,-0.02443919987168619
1975-07-01,0.007986153897486803,-0.03336871404037045
1975-10-01,0.025547951202428143,-0.007933389119791356
1976-01-01,0.06154303273356643,0.008272101298581358
1976-04-01,0.06173984642335095,0.02349188752454401
1976-07-01,0.0495825690072933,0.03956322575780424
1976-10-01,0.043115159923227786,0.04959806137428058
1977-01-01,0.032268394403294653,0.03291777431478593
1977-04-01,0.044653042962939926,0.0272256210902182
1977-07-01,0.05769993106834703,0.02134305285442939
1977-10-01,0.050132712216701014,0.017258067380609976
1978-01-01,0.041141118093148465,0.026162352126800403
1978-04-01,0.06077933225596155,0.04510421553515176
1978-07-01,0.052470330832419476,0.05242903748418737
1978-10-01,0.06659559719611163,0.04395609191890526
1979-01-01,0.06510448393675339,0.03119459651125589
1979-04-01,0.026566953584967523,0.06394339703304697
1979-07-01,0.02389453450707335,0.026410017418296405
1979-10-01,0.01284088156938723,0.027894609216258415
1980-01-01,0.01420553641544986,0.02113875004193355
1980-04-01,-0.0077506874396774394,-0.04076474582809286
1980-07-01,-0.01623745716089553,-0.0202860676585761
1980-10-01,-0.00039051531488198954,-0.04064134581750445
1981-01-01,0.016000011986558205,-0.032035250684768424
1981-04-01,0.029686706612209957,-0.010262983721651131
1981-07-01,0.04325718700878034,0.001736344114883881
1981-10-01,0.012998250196119887,0.01384260554721739
1982-01-01,-0.02190515056799669,0.016401371164811218
1982-04-01,-0.010107452377141501,0.02464532403331754
1982-07-01,-0.025560417516138023,0.01588052552690855
1982-10-01,-0.014431837563933958,0.02168685783106339
