date,gdp,gdp_growth,entropy,year,crisis
1951-01-01,2593.967,0.10564876919352262,2.1618150602231903,1951,0
1951-04-01,2638.898,0.09149921288242213,2.1748647972893744,1951,0
1951-07-01,2693.259,0.07252998354921925,2.1816213164862828,1951,0
1951-10-01,2699.156,0.054681632720046114,2.187148014570635,1951,0
1952-01-01,2727.954,0.05165331710079579,2.1988467497898445,1952,0
1952-04-01,2733.8,0.035962738991806464,2.258959776959614,1952,0
1952-07-01,2753.517,0.022373637292217197,2.301574456923867,1952,0
1952-10-01,2843.941,0.05364084180388229,2.3386686985794616,1952,0
1953-01-01,2896.811,0.06189877102033248,2.3792484899151947,1953,0
1953-04-01,2919.206,0.06781988440997866,2.392318260814829,1953,0
1953-07-01,2902.785,0.05420994313817573,2.3916658071155013,1953,0
1953-10-01,2858.845,0.005240615047921171,2.3928049533911864,1953,0
1954-01-01,2845.192,-0.017819250203068182,2.3574039025968743,1954,0
1954-04-01,2848.305,-0.024287768660382403,2.3467587974173933,1954,0
1954-07-01,2880.482,-0.007683311027168682,2.3496841053598825,1954,0
1954-10-01,2936.852,0.02728619424977574,2.3080798504950373,1954,0
1955-01-01,3020.746,0.061701987071522746,2.3021707414359707,1955,0
1955-04-01,3069.91,0.07780241231188367,2.2961600946777443,1955,0
1955-07-01,3111.379,0.08015915391937867,2.280448651068302,1955,0
1955-10-01,3130.068,0.06579017260658704,2.288652946118411,1955,0
1956-01-01,3117.922,0.03216953692895719,2.2870100501235284,1956,0
1956-04-01,3143.694,0.02403458081833021,2.2776209211362084,1956,0
1956-07-01,3140.874,0.009479719442729406,2.263836650321289,1956,0
1956-10-01,3192.57,0.019968256280694208,2.212708944285554,1956,0
1957-01-01,3213.011,0.030497555743857596,2.2589024338832466,1957,0
1957-04-01,3205.97,0.01980981609533239,2.2778128184450113,1957,0
1957-07-01,3237.386,0.030727752848411116,2.2703668611372905,1957,0
1957-10-01,3203.894,0.003546985657322921,2.3179759949196543,1957,0
1958-01-01,3120.724,-0.028722901975747894,2.2545129564414577,1958,0
1958-04-01,3141.224,-0.02019544786757199,2.2512404332135048,1958,0
1958-07-01,3213.884,-0.007259560645533125,2.2674949414007846,1958,0
1958-10-01,3289.032,0.026573288629399228,2.291878188170558,1958,0
1959-01-01,3352.129,0.07415106238167812,2.3671410519582756,1959,0
1959-04-01,3427.667,0.09118833932250614,2.2673573451691666,1959,0
1959-07-01,3430.057,0.06726222850606911,2.1811990013210885,1959,0
1959-10-01,3439.832,0.04584935628476705,2.216504702494161,1959,0
1960-01-01,3517.181,0.0492379619042107,2.2389756089899207,1960,0
1960-04-01,3498.246,0.020590973393856515,2.2472615392894966,1960,0
1960-07-01,3515.385,0.02487655452956039,2.2487539182572984,1960,0
1960-10-01,3470.278,0.008851013654155082,2.241566673817812,1960,0
1961-01-01,3493.703,-0.006675232238545603,2.2655576453892605,1961,0
1961-04-01,3553.021,0.015657846818091237,2.2131494415056423,1961,0
1961-07-01,3621.252,0.030115335873595495,2.202886720163058,1961,0
1961-10-01,3692.289,0.06397498989994466,2.254863838761516,1961,0
1962-01-01,3758.147,0.07569160858836588,2.265023618275262,1962,0
1962-04-01,3792.149,0.06730272632782075,2.2638883682401914,1962,0
1962-07-01,3838.776,0.060068727611334305,2.286081611952565,1962,0
1962-10-01,3851.421,0.043098468185995165,2.290395430672579,1962,0
1963-01-01,3893.482,0.03601109802250946,2.290027801220397,1963,0
1963-04-01,3937.183,0.03824586006509767,2.287348369016079,1963,0
1963-07-01,4023.755,0.04818697418135365,2.3054098362167874,1963,0
1963-10-01,4050.147,0.05159809846807195,2.3192026851554908,1963,0
1964-01-01,4135.553,0.06217339646105979,2.3683247557959324,1964,0
1964-04-01,4180.592,0.061823135983265054,2.421623743157238,1964,0
1964-07-01,4245.918,0.05521285465939152,2.451280553549905,1964,0
1964-10-01,4259.046,0.05157812790498717,2.462190321710486,1964,0
1965-01-01,4362.111,0.05478300000024183,2.4627404935955615,1965,0
1965-04-01,4417.225,0.056602749084340376,2.4685210138108182,1965,0
1965-07-01,4515.427,0.06347484807761239,2.471221751774449,1965,0
1965-10-01,4619.458,0.0846227065873435,2.470329875485089,1965,0
1966-01-01,4731.888,0.08477019498128313,2.4614539024662148,1966,0
1966-04-01,4748.046,0.07489340026826796,2.4615155538172795,1966,0
1966-07-01,4788.254,0.060421085314855016,2.467182346171471,1966,0
1966-10-01,4827.537,0.045044028974827954,2.4698823050007896,1966,0
1967-01-01,4870.299,0.02925069232407873,2.4674131165658144,1967,0
1967-04-01,4873.287,0.026377377135773372,2.4520167895696843,1967,0
1967-07-01,4919.392,0.027387436004856935,2.4340835161981147,1967,0
1967-10-01,4956.477,0.026709272243796267,2.4181914642445714,1967,0
1968-01-01,5057.553,0.038448152772550426,2.4023585988301317,1968,0
1968-04-01,5142.033,0.05514676233925897,2.3970600107940276,1968,0
1968-07-01,5181.859,0.053353544503060624,2.397047805741231,1968,0
1968-10-01,5202.212,0.049578561546840705,2.3978401446053574,1968,0
1969-01-01,5283.597,0.04469434131486105,2.410984611425452,1969,0
1969-04-01,5299.625,0.03064780019887059,2.4300422909822847,1969,0
1969-07-01,5334.6,0.02947610114439625,2.4420812403366816,1969,0
1969-10-01,5308.556,0.020442073487201062,2.446910725186006,1969,0
1970-01-01,5300.652,0.003227914619529093,2.436405113124121,1970,0
1970-04-01,5308.164,0.001611246078731865,2.375385550829762,1970,0
1970-07-01,5357.077,0.004213436808757853,2.300958237882595,1970,0
1970-10-01,5299.672,-0.0016735247777361906,2.238761177098709,1970,0
1971-01-01,5443.619,0.02697158764619889,2.153343660857711,1971,0
1971-04-01,5473.059,0.031064413232145816,2.1478606453880515,1971,0
1971-07-01,5518.072,0.03005276944871249,2.161251304718103,1971,0
1971-10-01,5531.032,0.04365553188952087,2.180428648468779,1971,0
1972-01-01,5632.649,0.0347250606627687,2.1897371314476652,1972,0
1972-04-01,5760.47,0.05251377703035898,2.2012458995754973,1972,0
1972-07-01,5814.854,0.05378364037294192,2.175924529996964,1972,0
1972-10-01,5912.22,0.06891806086097496,2.1587741965566956,1972,0
1973-01-01,6058.544,0.07561184799549903,2.143428837883083,1973,0
1973-04-01,6124.506,0.06319553786409782,2.203310938276692,1973,0
1973-07-01,6092.301,0.047713493752379765,2.2888135521658555,1973,0
1973-10-01,6150.131,0.04024055261813664,2.3578817943298835,1973,0
1974-01-01,6097.258,0.006389984128199799,2.4336964808590404,1974,0
1974-04-01,6111.751,-0.0020826169490241186,2.390531816034698,1974,0
1974-07-01,6053.978,-0.006290398324048763,2.3202499582920684,1974,0
1974-10-01,6030.464,-0.019457634317057715,2.26787926541108,1974,0
1975-01-01,5957.035,-0.022997714710448536,2.242908771435792,1975,0
1975-04-01,5999.61,-0.018348424207727088,2.2290235070419597,1975,0
1975-07-01,6102.326,0.007986153897486803,2.2019749886774096,1975,0
1975-10-01,6184.53,0.025547951202428143,2.14440629688848,1975,0
1976-01-01,6323.649,0.06154303273356643,2.1551549795895584,1976,0
1976-04-01,6370.025,0.06173984642335095,2.180770584899839,1976,0
1976-07-01,6404.895,0.0495825690072933,2.1832415269375707,1976,0
1976-10-01,6451.177,0.043115159923227786,2.1815273535732276,1976,0
1977-01-01,6527.703,0.032268394403294653,2.18036314108328,1977,0
1977-04-01,6654.466,0.044653042962939926,2.237033340495401,1977,0
1977-07-01,6774.457,0.05769993106834703,2.3163360696254873,1977,0
1977-10-01,6774.592,0.050132712216701014,2.361979755307898,1977,0
1978-01-01,6796.26,0.041141118093148465,2.378403831496021,1978,0
1978-04-01,7058.92,0.06077933225596155,2.3912944167023635,1978,0
1978-07-01,7129.915,0.052470330832419476,2.4092866833927635,1978,0
1978-10-01,7225.75,0.06659559719611163,2.456581667226628,1978,0
1979-01-01,7238.727,0.06510448393675339,2.466300276091143,1979,0
1979-04-01,7246.454,0.026566953584967523,2.465280288767231,1979,0
1979-07-01,7300.281,0.02389453450707335,2.4542899508604803,1979,0
1979-10-01,7318.535,0.01284088156938723,2.4396683629388654,1979,0
1980-01-01,7341.557,0.01420553641544986,2.4061606248897722,1980,0
1980-04-01,7190.289,-0.0077506874396774394,2.3803282198417217,1980,0
