date,entropy_std,country
1955-10-01,0.7420851357154784,CA
1956-01-01,1.2212052914245048,CA
1956-04-01,1.2199740772751366,CA
1956-07-01,1.2367880582000843,CA
1956-10-01,1.124861015328292,CA
1957-01-01,1.1806748380276983,CA
1957-04-01,0.9444733259690262,CA
1957-07-01,0.4114416140257325,CA
1957-10-01,-0.5953735475008299,CA
1958-01-01,-5.347223619118762,CA
1958-04-01,-8.74948833398768,CA
1958-07-01,-8.93636019425599,CA
1958-10-01,-1.5230286438987213,CA
1959-01-01,-0.5499082916510047,CA
1959-04-01,0.5640211389680084,CA
1959-07-01,1.2220440889012198,CA
1959-10-01,0.9547110117459737,CA
1960-01-01,1.322947288330919,CA
1960-04-01,1.2268820517478454,CA
1960-07-01,1.2188197473758504,CA
1960-10-01,1.3336506195483664,CA
1961-01-01,0.5530514084347599,CA
1961-04-01,-1.030049550715629,CA
1961-07-01,0.6708879825645797,CA
1961-10-01,1.6085709426315868,CA
1962-01-01,0.3315299766268107,CA
1962-04-01,1.345322594918012,CA
1962-07-01,1.0538699274657632,CA
1962-10-01,1.053869927465764,CA
1963-01-01,1.0544695594042772,CA
1963-04-01,0.6063554131538987,CA
1963-07-01,0.7499404422205634,CA
1963-10-01,1.3507224126540098,CA
1964-01-01,0.5048500184690176,CA
1964-04-01,0.9276703590589496,CA
1964-07-01,1.3192930858890581,CA
1964-10-01,1.445080385643304,CA
1965-01-01,1.0359871992398655,CA
1965-04-01,1.0713233133396316,CA
1965-07-01,1.1841186832067587,CA
1965-10-01,1.0259013288025385,CA
1966-01-01,0.8757433793251779,CA
1966-04-01,1.0114531843568488,CA
1966-07-01,1.0558190299585022,CA
1966-10-01,1.1618688677102145,CA
1967-01-01,1.5279280951521346,CA
1967-04-01,1.6268302482464025,CA
1967-07-01,1.1754409833354615,CA
1967-10-01,1.2548666556621138,CA
1968-01-01,1.1293511881920795,CA
1968-04-01,1.031453977536204,CA
1968-07-01,0.9898028105678226,CA
1968-10-01,0.8509907297834293,CA
1969-01-01,1.0202074756976804,CA
1969-04-01,1.038922895623844,CA
1969-07-01,1.2492585548616753,CA
1969-10-01,1.0690055326495365,CA
1970-01-01,1.0454035750643829,CA
1970-04-01,0.9194829424340398,CA
1970-07-01,1.0065541135067784,CA
1970-10-01,1.0238626669225834,CA
1971-01-01,1.125149384682135,CA
1971-04-01,1.0582716313744491,CA
1971-07-01,0.9754169360858758,CA
1971-10-01,0.8071508042604831,CA
1972-01-01,0.7377559273229936,CA
1972-04-01,0.6681475885947462,CA
1972-07-01,0.6059404632387095,CA
1972-10-01,0.5873342993765484,CA
1973-01-01,0.5501489767728828,CA
1973-04-01,0.4872139184773311,CA
1973-07-01,0.403233348145632,CA
1973-10-01,0.38438941741176136,CA
1974-01-01,0.3514295413740562,CA
1974-04-01,0.28439506690733535,CA
1974-07-01,0.24947459660588867,CA
1974-10-01,0.2260074781409458,CA
1975-01-01,0.22997484720866518,CA
1975-04-01,0.21005844729430598,CA
1975-07-01,0.21535246101010685,CA
1975-10-01,0.20328962674157589,CA
1976-01-01,0.21399104515857706,CA
1976-04-01,0.2006147254147449,CA
1976-07-01,0.187063899138255,CA
1976-10-01,0.1601845658375533,CA
1977-01-01,0.135441777500721,CA
1977-04-01,0.10751548046900526,CA
1977-07-01,0.09277237612545099,CA
1977-10-01,0.08504870706940185,CA
1978-01-01,0.08117730547014654,CA
1978-04-01,0.07068506960631629,CA
1978-07-01,0.0592448590955061,CA
1978-10-01,0.04906270941281254,CA
1979-01-01,0.02753362590647016,CA
1979-04-01,-0.0026684160461163953,CA
1979-07-01,-0.0312728486669698,CA
1979-10-01,-0.04735811659305991,CA
1980-01-01,-0.06202833504234197,CA
1980-04-01,-0.07634660494430258,CA
1980-07-01,-0.07438558406032818,CA
1980-10-01,-0.08043272330660203,CA
1981-01-01,-0.08880674491476849,CA
1981-04-01,-0.11480223563864465,CA
1981-07-01,-0.13490424034013757,CA
1981-10-01,-0.1360551892530658,CA
1982-01-01,-0.1212732573134627,CA
1982-04-01,-0.10280141987635771,CA
1982-07-01,-0.07961513264736524,CA
1982-10-01,-0.04176858781080302,CA
1983-01-01,0.11434108934267574,CA
1983-04-01,0.44865312255971285,CA
1983-07-01,0.6677029606675497,CA
1983-10-01,1.195334982945563,CA
1984-01-01,0.5032339347569954,CA
1984-04-01,0.34656081140222156,CA
1984-07-01,0.2974796451289098,CA
1984-10-01,0.22430575379388504,CA
1985-01-01,0.1332802734600098,CA
1985-04-01,0.08680453521709416,CA
1985-07-01,0.019294155148014133,CA
1985-10-01,-0.01677317258603943,CA
1986-01-01,-0.03200570747938286,CA
1986-04-01,-0.07456464749625018,CA
1986-07-01,-0.0772301952718553,CA
1986-10-01,-0.09159384172245257,CA
1987-01-01,-0.08558678839055346,CA
1987-04-01,-0.10689957097242676,CA
1987-07-01,-0.12175465672190988,CA
1987-10-01,-0.15252035983912463,CA
1988-01-01,-0.18769293657442132,CA
1988-04-01,-0.21146609730402274,CA
1988-07-01,-0.2360628337185989,CA
1988-10-01,-0.2420791594541416,CA
1989-01-01,-0.24042574850936868,CA
1989-04-01,-0.25283711591665414,CA
1989-07-01,-0.2593968508073546,CA
1989-10-01,-0.2627923662812379,CA
1990-01-01,-0.264893064265978,CA
1990-04-01,-0.2551396460738126,CA
1990-07-01,-0.25581198775810693,CA
1990-10-01,-0.24476233732115646,CA
1991-01-01,-0.22643258426255772,CA
1991-04-01,-0.19874818938591302,CA
1991-07-01,-0.16062930879375317,CA
1991-10-01,-0.12065643582150007,CA
1992-01-01,-0.09707959746748218,CA
1992-04-01,-0.07373016162814577,CA
1992-07-01,-0.053250069153785815,CA
1992-10-01,-0.03845767978113697,CA
1993-01-01,-0.05159779052942721,CA
1993-04-01,-0.07212743742394886,CA
1993-07-01,-0.07937398717822118,CA
1993-10-01,-0.08622133429721988,CA
1994-01-01,-0.08715365168287391,CA
1994-04-01,-0.10465655745476653,CA
1994-07-01,-0.09732243436891143,CA
1994-10-01,-0.058958510228476084,CA
1995-01-01,-0.10668390830400437,CA
1995-04-01,-0.10021777004695512,CA
1995-07-01,-0.07960870211798335,CA
1995-10-01,-0.08237682945983275,CA
1996-01-01,-0.08324334682848483,CA
1996-04-01,-0.06570463224063734,CA
1996-07-01,-0.05642257161661348,CA
1996-10-01,-0.02256923955518583,CA
1997-01-01,-0.1195117951213873,CA
1997-04-01,-0.1588394717214903,CA
1997-07-01,-0.1829018784072228,CA
1997-10-01,-0.20087597563448664,CA
1998-01-01,-0.23275350001385467,CA
1998-04-01,-0.2617981133864069,CA
1998-07-01,-0.27188832777793726,CA
1998-10-01,-0.2583587212791057,CA
1999-01-01,-0.23394471295273525,CA
1999-04-01,-0.2190179168795485,CA
1999-07-01,-0.2136186912833095,CA
1999-10-01,-0.17009343722041312,CA
2000-01-01,-0.2330639837121001,CA
2000-04-01,-0.23330312743299475,CA
2000-07-01,-0.25711036382377866,CA
2000-10-01,-0.2778195391954791,CA
2001-01-01,-0.31577983884052757,CA
2001-04-01,-0.3167145306394379,CA
2001-07-01,-0.32521117747848843,CA
2001-10-01,-0.2982437295477971,CA
2002-01-01,-0.3005119941559225,CA
2002-04-01,-0.31129386549444427,CA
2002-07-01,-0.3187139108184858,CA
2002-10-01,-0.2971563613567059,CA
2003-01-01,-0.2798064243960085,CA
2003-04-01,-0.2590916181065941,CA
2003-07-01,-0.2616958464553417,CA
2003-10-01,-0.21418254184480057,CA
2004-01-01,-0.26421154207109687,CA
2004-04-01,-0.2581915503956982,CA
2004-07-01,-0.2630972106090979,CA
2004-10-01,-0.2981294865966865,CA
2005-01-01,-0.2869585429379042,CA
2005-04-01,-0.31402350612174706,CA
2005-07-01,-0.31723166821353543,CA
2005-10-01,-0.26913820023052965,CA
2006-01-01,-0.27921199592163853,CA
2006-04-01,-0.27697800864493083,CA
2006-07-01,-0.3064355328474027,CA
2006-10-01,-0.3271494132031092,CA
2007-01-01,-0.36759714256874126,CA
2007-04-01,-0.36701948313885174,CA
2007-07-01,-0.3824505930196496,CA
2007-10-01,-0.3841315374790756,CA
2008-01-01,-0.3936618704511598,CA
2008-04-01,-0.3896746292212236,CA
2008-07-01,-0.38988778951645114,CA
2008-10-01,-0.37601356730690844,CA
2009-01-01,-0.37246612004421376,CA
2009-04-01,-0.37053395254531596,CA
2009-07-01,-0.3573341345032321,CA
2009-10-01,-0.32308517738483056,CA
2010-01-01,-0.319932778134364,CA
2010-04-01,-0.31966623363518776,CA
2010-07-01,-0.2847874663654667,CA
2010-10-01,-0.29217260653803373,CA
2011-01-01,-0.3022666597293559,CA
2011-04-01,-0.31932510544251813,CA
2011-07-01,-0.35109671015754695,CA
2011-10-01,-0.3471317503822191,CA
2012-01-01,-0.3440518598700565,CA
2012-04-01,-0.3645840005894039,CA
2012-07-01,-0.37128072667754575,CA
2012-10-01,-0.36159351253285904,CA
2013-01-01,-0.3741946070425928,CA
2013-04-01,-0.372780926627826,CA
2013-07-01,-0.3856496304723893,CA
2013-10-01,-0.382124343195691,CA
2014-01-01,-0.3860518405012592,CA
2014-04-01,-0.3897326620479039,CA
2014-07-01,-0.39739155212502036,CA
2014-10-01,-0.39419159478296695,CA
2015-01-01,-0.4035034889344928,CA
2015-04-01,-0.4080016919795297,CA
2015-07-01,-0.4061366950355941,CA
2015-10-01,-0.4037956598355243,CA
2016-01-01,-0.39545921466008466,CA
2016-04-01,-0.39310165334550423,CA
2016-07-01,-0.3949013561942797,CA
2016-10-01,-0.3684788374581468,CA
2017-01-01,-0.3786018417799904,CA
2017-04-01,-0.371667994449713,CA
2017-07-01,-0.37899645767368734,CA
2017-10-01,-0.3875619880756561,CA
2018-01-01,-0.3812836581660181,CA
2018-04-01,-0.3954932608049814,CA
2018-07-01,-0.39915414146340017,CA
2018-10-01,-0.39043233647138603,CA
2019-01-01,-0.38786781791114766,CA
2019-04-01,-0.40005360829923925,CA
2019-07-01,-0.40247918519007897,CA
2019-10-01,-0.40341483250724164,CA
2020-01-01,-0.40841713513803124,CA
2020-04-01,-0.41594559985096996,CA
2020-07-01,-0.4184235453822852,CA
2020-10-01,-0.4162772332599211,CA
2021-01-01,-0.4063285886709446,CA
2021-04-01,-0.4171328010603134,CA
2021-07-01,-0.4263467975222217,CA
2021-10-01,-0.42325836163113156,CA
2022-01-01,-0.4205137800215522,CA
2022-04-01,-0.4233767266936286,CA
2022-07-01,-0.4272783223563613,CA
2022-10-01,-0.4268842184779497,CA
2023-01-01,-0.418948060926281,CA
2023-04-01,-0.4151543686411192,CA
2023-07-01,-0.4038105976746477,CA
2023-10-01,-0.40893737519109125,CA
2024-01-01,-0.39896770485900906,CA
2024-04-01,-0.3954880985368621,CA
2024-07-01,-0.40149917419045866,CA
2024-10-01,-0.39967985383643667,CA
2025-01-01,-0.40374008294715513,CA
2025-04-01,-0.40292514643448607,CA
1956-10-01,2.864206787490679,DE
1957-01-01,2.5868242561592996,DE
1957-04-01,2.6935492424735004,DE
1957-07-01,3.2384721852641905,DE
1957-10-01,3.198387402825904,DE
1958-01-01,3.3296198514700954,DE
1958-04-01,3.2955542093020624,DE
1958-07-01,3.255156558378897,DE
1958-10-01,2.6571029974358806,DE
1959-01-01,2.9926962561956936,DE
1959-04-01,2.8826301368833374,DE
1959-07-01,2.396084944867761,DE
1959-10-01,2.094457850965185,DE
1960-01-01,2.0301445350437053,DE
1960-04-01,2.160017578518689,DE
1960-07-01,1.9331106715353579,DE
1960-10-01,1.9194774583739735,DE
1961-01-01,1.589969719595176,DE
1961-04-01,1.7318921319438385,DE
1961-07-01,1.4725376961643006,DE
1961-10-01,1.581001075231892,DE
1962-01-01,1.5997934386411201,DE
1962-04-01,1.5218041807792029,DE
1962-07-01,1.6099153409868328,DE
1962-10-01,1.8102032875608356,DE
1963-01-01,1.880326183083208,DE
1963-04-01,1.7661364490431755,DE
1963-07-01,1.8141475346874159,DE
1963-10-01,1.6912019293251894,DE
1964-01-01,1.789294229285978,DE
1964-04-01,1.672569907282655,DE
1964-07-01,1.6848654466133761,DE
1964-10-01,1.5775180553897914,DE
1965-01-01,1.6413461289938962,DE
1965-04-01,1.5551631988652255,DE
1965-07-01,1.4612038913341987,DE
1965-10-01,1.4987188530965048,DE
1966-01-01,1.5805410145640009,DE
1966-04-01,1.4896987667038875,DE
1966-07-01,1.563660623159356,DE
1966-10-01,1.6011997106467006,DE
1967-01-01,1.6459576228227166,DE
1967-04-01,1.6806472010242763,DE
1967-07-01,1.6525461336630056,DE
1967-10-01,1.7426344955192674,DE
1968-01-01,1.919591418607959,DE
1968-04-01,1.7931418083992359,DE
1968-07-01,1.628659266338106,DE
1968-10-01,1.1167223821901722,DE
1969-01-01,1.0584156799713698,DE
1969-04-01,1.1145722516441487,DE
1969-07-01,0.9203800129703383,DE
1969-10-01,0.4180238868790483,DE
1970-01-01,0.3368105154078604,DE
1970-04-01,0.3339374701679674,DE
1970-07-01,0.30934473467602513,DE
1970-10-01,0.26229321020539614,DE
1971-01-01,0.2765757106544593,DE
1971-04-01,0.21910218389926722,DE
1971-07-01,0.19358941147392525,DE
1971-10-01,0.1382767148044992,DE
1972-01-01,0.04836054386041477,DE
1972-04-01,0.03182808846338495,DE
1972-07-01,0.022124787795291073,DE
1972-10-01,-0.012259730835217133,DE
1973-01-01,-0.17053575386447656,DE
1973-04-01,-0.32237812511116554,DE
1973-07-01,-0.33422259064048765,DE
1973-10-01,-0.3141433545141189,DE
1974-01-01,-0.29175979066122787,DE
1974-04-01,-0.290184095402018,DE
1974-07-01,-0.2673843325081927,DE
1974-10-01,-0.26614893342549006,DE
1975-01-01,-0.14761552638588615,DE
1975-04-01,-0.15156834508360273,DE
1975-07-01,-0.1142452152134655,DE
1975-10-01,0.017768317977519734,DE
1976-01-01,0.07060570550304647,DE
1976-04-01,0.05612733444119182,DE
1976-07-01,0.025931172070676675,DE
1976-10-01,-0.18096826991644363,DE
1977-01-01,-0.17196274007287576,DE
1977-04-01,-0.22822470906930378,DE
1977-07-01,-0.23587730463127302,DE
1977-10-01,-0.3638571281416534,DE
1978-01-01,-0.3830214178638698,DE
1978-04-01,-0.33975482236493154,DE
1978-07-01,-0.3926086801830289,DE
1978-10-01,-0.46897961440287156,DE
1979-01-01,-0.45761591032647553,DE
1979-04-01,-0.45432280384401985,DE
1979-07-01,-0.43735515644368095,DE
1979-10-01,-0.44680394586214645,DE
1980-01-01,-0.44680394586214645,DE
1980-04-01,-0.4153070353186996,DE
