date,gdp,gdp_growth,entropy,volatility,year,crisis,crisis_next_4q,entropy_std,volatility_std
1951-01-01,2593.967,0.10564876919352262,2.1618150602231903,0.04368683332121834,1951,0,0,-1.8912419504041238,2.1194448340284473
1951-04-01,2638.898,0.09149921288242213,2.1748647972893744,0.046862769507294746,1951,0,0,-1.7621984521410146,2.392082619209287
1951-07-01,2693.259,0.07252998354921925,2.1816213164862828,0.04840182443777338,1951,0,0,-1.695386004592916,2.5242025683936986
1951-10-01,2699.156,0.054681632720046114,2.187148014570635,0.04875740689726733,1951,0,0,-1.6407347536878756,2.5547274934947137
1952-01-01,2727.954,0.05165331710079579,2.1988467497898445,0.04857689533459647,1952,0,0,-1.5250507586553177,2.5392315043555502
1952-04-01,2733.8,0.035962738991806464,2.258959776959614,0.04670266610790635,1952,0,0,-0.9306176848063721,2.378338565912328
1952-07-01,2753.517,0.022373637292217197,2.301574456923867,0.042660167239650916,1952,0,0,-0.5092185905518193,2.0313108318951625
1952-10-01,2843.941,0.05364084180388229,2.3386686985794616,0.03954740814520732,1952,0,0,-0.14240884684755534,1.7640964750604113
1953-01-01,2896.811,0.06189877102033248,2.3792484899151947,0.031899070776622636,1953,0,0,0.25886806824980096,1.1075260535171192
1953-04-01,2919.206,0.06781988440997866,2.392318260814829,0.03055585562196537,1953,0,0,0.38810967287619486,0.9922179417255159
1953-07-01,2902.785,0.05420994313817573,2.3916658071155013,0.030570095522422697,1953,0,0,0.38165782580916796,0.9934403639325179
1953-10-01,2858.845,0.005240615047921171,2.3928049533911864,0.029279134623443226,1953,0,0,0.3929223761753758,0.8826180112051947
1954-01-01,2845.192,-0.017819250203068182,2.3574039025968743,0.026313593787439617,1954,0,0,0.04285590253539377,0.6280415845956238
1954-04-01,2848.305,-0.024287768660382403,2.3467587974173933,0.02905304121406116,1954,0,0,-0.06240917711886128,0.8632090549899678
1954-07-01,2880.482,-0.007683311027168682,2.3496841053598825,0.03151000197525629,1954,0,0,-0.033482006519090945,1.0741264982135437
1954-10-01,2936.852,0.02728619424977574,2.3080798504950373,0.03166373861380594,1954,0,0,-0.4448894213321978,1.0873239978418678
1955-01-01,3020.746,0.061701987071522746,2.3021707414359707,0.030762808873887656,1955,0,0,-0.503322177542753,1.0099838138760424
1955-04-01,3069.91,0.07780241231188367,2.2961600946777443,0.031535282325959396,1955,0,0,-0.5627589984205662,1.076296686284232
1955-07-01,3111.379,0.08015915391937867,2.280448651068302,0.03436857780396894,1955,0,0,-0.7181230211471041,1.319520529154237
1955-10-01,3130.068,0.06579017260658704,2.288652946118411,0.03667452939016329,1955,0,0,-0.6369941119070701,1.5174746114656212
1956-01-01,3117.922,0.03216953692895719,2.2870100501235284,0.03729172220727415,1956,0,0,-0.6532400366630162,1.570457440095598
1956-04-01,3143.694,0.02403458081833021,2.2776209211362084,0.036580995150343014,1956,0,0,-0.7460852828179736,1.5094451780988642
1956-07-01,3140.874,0.009479719442729406,2.263836650321289,0.03530675260210867,1956,0,0,-0.8823922840963857,1.4000580097870878
1956-10-01,3192.57,0.019968256280694208,2.212708944285554,0.03507815639702525,1956,0,0,-1.387973202053404,1.3804342014347908
1957-01-01,3213.011,0.030497555743857596,2.2589024338832466,0.034519785490267546,1957,0,0,-0.9311847269726682,1.3325009312402443
1957-04-01,3205.97,0.01980981609533239,2.2778128184450113,0.03150423188019928,1957,0,0,-0.7441876890266499,1.0736311652331387
1957-07-01,3237.386,0.030727752848411116,2.2703668611372905,0.026822707655680778,1957,0,0,-0.8178177073199621,0.6717463914020856
1957-10-01,3203.894,0.003546985657322921,2.3179759949196543,0.023402966974705088,1957,0,0,-0.34703050744045894,0.37817924441672124
1958-01-01,3120.724,-0.028722901975747894,2.2545129564414577,0.025315243608397663,1958,0,0,-0.9745904693077574,0.5423383570426931
1958-04-01,3141.224,-0.02019544786757199,2.2512404332135048,0.03013083778994914,1958,0,0,-1.0069511094754913,0.9557323470554222
1958-07-01,3213.884,-0.007259560645533125,2.2674949414007846,0.029459836688152594,1958,0,0,-0.8462169438448062,0.8981303539644586
1958-10-01,3289.032,0.026573288629399228,2.291878188170558,0.024662649637736626,1958,0,0,-0.6051010158972812,0.4863165214770351
1959-01-01,3352.129,0.07415106238167812,2.3671410519582756,0.019841218954317178,1959,0,0,0.13914257944949382,0.07242149780076343
1959-04-01,3427.667,0.09118833932250614,2.2673573451691666,0.025911297105431372,1959,0,0,-0.8475775765522503,0.5935064837805692
1959-07-01,3430.057,0.06726222850606911,2.1811990013210885,0.033385072334751256,1959,0,0,-1.6995621060737234,1.2350916435814396
1959-10-01,3439.832,0.04584935628476705,2.216504702494161,0.035502962309412835,1959,0,0,-1.350438505736123,1.4169016038948383
1960-01-01,3517.181,0.0492379619042107,2.2389756089899207,0.03587771615697032,1960,0,0,-1.1282329265241016,1.4490722940472422
1960-04-01,3498.246,0.020590973393856515,2.2472615392894966,0.036366312757364606,1960,0,0,-1.0462967597799984,1.4910157989458577
1960-07-01,3515.385,0.02487655452956039,2.2487539182572984,0.03634987744344693,1960,0,0,-1.0315392361791222,1.4896049117860612
1960-10-01,3470.278,0.008851013654155082,2.241566673817812,0.036368203817694476,1960,0,0,-1.1026109490143767,1.4911781367479329
1961-01-01,3493.703,-0.006675232238545603,2.2655576453892605,0.036088240161593337,1961,0,0,-0.8653740696344165,1.4671446969498736
1961-04-01,3553.021,0.015657846818091237,2.2131494415056423,0.03355646308364422,1961,0,0,-1.3836173056880523,1.2498046577734503
1961-07-01,3621.252,0.030115335873595495,2.202886720163058,0.030283490396509665,1961,0,0,-1.4851011483915437,0.9688367881135279
1961-10-01,3692.289,0.06397498989994466,2.254863838761516,0.02766926533966661,1961,0,0,-0.9711207379385065,0.7444190140453183
1962-01-01,3758.147,0.07569160858836588,2.265023618275262,0.02838204681605142,1962,0,0,-0.870654844764845,0.8056076373846187
1962-04-01,3792.149,0.06730272632782075,2.2638883682401914,0.0285373740708082,1962,0,0,-0.8818808668054298,0.8189416832325066
1962-07-01,3838.776,0.060068727611334305,2.286081611952565,0.025619958929858477,1962,0,0,-0.662420980991205,0.5684965999941606
1962-10-01,3851.421,0.043098468185995165,2.290395430672579,0.025018495165361775,1962,0,0,-0.6197633967287584,0.5168640296239427
1963-01-01,3893.482,0.03601109802250946,2.290027801220397,0.024957701758763943,1963,0,0,-0.6233987336197268,0.5116452283768977
1963-04-01,3937.183,0.03824586006509767,2.287348369016079,0.024716143651101842,1963,0,0,-0.6498945398762356,0.4909087073617095
1963-07-01,4023.755,0.04818697418135365,2.3054098362167874,0.024238445756380417,1963,0,0,-0.4712920975800313,0.44990080028430135
1963-10-01,4050.147,0.05159809846807195,2.3192026851554908,0.024033933404836023,1963,0,0,-0.3349002707533362,0.43234446687570316
1964-01-01,4135.553,0.06217339646105979,2.3683247557959324,0.02224816107150642,1964,0,0,0.15084774127336806,0.27904509772254404
1964-04-01,4180.592,0.061823135983265054,2.421623743157238,0.01673631568383418,1964,0,0,0.6778995698352475,-0.19411847695579054
1964-07-01,4245.918,0.05521285465939152,2.451280553549905,0.013554342238653375,1964,0,0,0.9711636058067072,-0.46727452977626444
1964-10-01,4259.046,0.05157812790498717,2.462190321710486,0.011632426301649137,1964,0,0,1.0790458291450573,-0.6322611270088538
1965-01-01,4362.111,0.05478300000024183,2.4627404935955615,0.011361895321365386,1965,0,0,1.0844862532958346,-0.6554848201078276
1965-04-01,4417.225,0.056602749084340376,2.4685210138108182,0.0093683490679454,1965,0,0,1.1416474471631277,-0.8266205115523881
1965-07-01,4515.427,0.06347484807761239,2.471221751774449,0.008374115321727,1965,0,0,1.168353937336173,-0.9119703645215412
1965-10-01,4619.458,0.0846227065873435,2.470329875485089,0.0087069510370588,1965,0,0,1.1595345384614508,-0.883398130402049
1966-01-01,4731.888,0.08477019498128313,2.4614539024662148,0.012108642948014892,1966,0,0,1.0717636812376274,-0.5913803774835286
1966-04-01,4748.046,0.07489340026826796,2.4615155538172795,0.013076530132323039,1966,0,0,1.0723733261656203,-0.5082922413328155
1966-07-01,4788.254,0.060421085314855016,2.467182346171471,0.012010114790688158,1966,0,0,1.1284099118536501,-0.5998385129804814
1966-10-01,4827.537,0.045044028974827954,2.4698823050007896,0.011248972723128928,1966,0,0,1.155108697487003,-0.6651786443146951
1967-01-01,4870.299,0.02925069232407873,2.4674131165658144,0.011950627301714343,1967,0,0,1.1306919056463698,-0.6049452079168892
1967-04-01,4873.287,0.026377377135773372,2.4520167895696843,0.015161690156183757,1967,0,0,0.9784439418822743,-0.3292919789392131
1967-07-01,4919.392,0.027387436004856935,2.4340835161981147,0.017784851054703482,1967,0,0,0.8011091557912406,-0.10410710882728112
1967-10-01,4956.477,0.026709272243796267,2.4181914642445714,0.019618989098495767,1967,0,0,0.6439591712158074,0.05334420778535589
1968-01-01,5057.553,0.038448152772550426,2.4023585988301317,0.021120057789496195,1968,0,0,0.48739445805368076,0.18220323370434008
1968-04-01,5142.033,0.05514676233925897,2.3970600107940276,0.02147575302156586,1968,0,0,0.4349988938698073,0.21273783975090044
1968-07-01,5181.859,0.053353544503060624,2.397047805741231,0.021450680360281926,1968,0,0,0.43487820310789016,0.21058548074853445
