date,gdp,gdp_growth,entropy,volatility,year,crisis,crisis_next_4q,entropy_std,volatility_std,country,credit_yoy,credit_std
1951-01-01,2593.967,0.1056487691935226,2.1618150602231903,0.0436868333212183,1951,0,0.0,-1.8903339556731573,2.1194448340284477,US,0.14772810712307005,1.0924732431574722
1951-04-01,2638.898,0.0914992128824221,2.1748647972893744,0.0468627695072947,1951,0,0.0,-1.7611155702515646,2.392082619209287,US,0.13849904164040305,0.9686381633662272
1951-07-01,2693.259,0.0725299835492192,2.1816213164862828,0.0484018244377733,1951,0,0.0,-1.6942125746381993,2.5242025683936986,US,0.12982469200133995,0.8522462294582971
1951-10-01,2699.156,0.0546816327200461,2.187148014570635,0.0487574068972673,1951,0,0.0,-1.6394872572198746,2.5547274934947137,US,0.12175236178255422,0.7439321581558432
1952-01-01,2727.954,0.0516533171007957,2.1988467497898445,0.0485768953345964,1952,0,0.0,-1.52364648059471,2.5392315043555502,US,0.1009247411887868,0.46446832046448533
1952-04-01,2733.8,0.0359627389918064,2.258959776959614,0.0467026661079063,1952,0,0.0,-0.9284077969119241,2.378338565912328,US,0.10491110521052827,0.5179571279321995
1952-07-01,2753.517,0.0223736372922171,2.301574456923867,0.0426601672396509,1952,0,0.0,-0.5064375984082343,2.0313108318951625,US,0.10294844341953557,0.4916222427862148
1952-10-01,2843.941,0.0536408418038822,2.3386686985794616,0.0395474081452073,1952,0,0.0,-0.1391307330772024,1.7640964750604111,US,0.11150155137701412,0.6063873626530867
1953-01-01,2896.811,0.0618987710203324,2.3792484899151947,0.0318990707766226,1953,0,0.0,0.2626900155366879,1.1075260535171192,US,0.11982482183704612,0.7180685359504205
1953-04-01,2919.206,0.0678198844099786,2.392318260814829,0.0305558556219653,1953,0,0.0,0.39210677580668374,0.992217941725516,US,0.11529985632257378,0.6573528040499697
1953-07-01,2902.785,0.0542099431381757,2.3916658071155013,0.0305700955224226,1953,0,0.0,0.38564618482604857,0.993440363932518,US,0.10579450418160108,0.5298105254702017
1953-10-01,2858.845,0.0052406150479211,2.3928049533911864,0.0292791346234432,1953,0,0.0,0.3969260015577197,0.8826180112051947,US,0.08472988295889139,0.24716662671515727
1954-01-01,2845.192,-0.0178192502030681,2.3574039025968743,0.0263135937874396,1954,0,0.0,0.04638509773195396,0.6280415845956238,US,0.07067814600778388,0.05862121333456733
1954-04-01,2848.305,-0.0242877686603824,2.3467587974173933,0.0290530412140611,1954,0,0.0,-0.05902264320253612,0.8632090549899678,US,0.06278452461180861,-0.04729495306909737
1954-07-01,2880.482,-0.0076833110271686,2.3496841053598825,0.0315100019752562,1954,0,0.0,-0.030056268840179975,1.0741264982135437,US,0.06793258062773488,0.02178137201488091
1954-10-01,2936.852,0.0272861942497757,2.3080798504950373,0.0316637386138059,1954,0,0.0,-0.4420212466047258,1.0873239978418678,US,0.0816948446850072,0.20644265444279677
1955-01-01,3020.746,0.0617019870715227,2.3021707414359707,0.0307628088738876,1955,0,0.0,-0.500533194241688,1.0099838138760424,US,0.0968950065430898,0.4103975684122173
